Episode,Reward,Duration,Epsilon,Circles
0,1.5,4,1.00,0
1,2.0,5,1.00,0
2,2.5,6,1.00,0
3,4.5,10,1.00,0
4,1.5,4,1.00,0
5,1.5,4,1.00,0
6,7.5,16,0.99,0
7,7.0,15,0.99,0
8,6.0,13,0.99,0
9,9.5,20,0.99,0
10,1.5,4,0.99,0
11,9.0,19,0.98,0
12,2.5,6,0.98,0
13,1.5,4,0.98,0
14,2.0,5,0.98,0
15,2.5,6,0.98,0
16,6.0,13,0.98,0
17,1.5,4,0.98,0
18,1.5,4,0.98,0
19,7.5,16,0.98,0
20,10.0,21,0.97,0
21,5.0,11,0.97,0
22,5.0,11,0.97,0
23,4.5,10,0.97,0
24,2.5,6,0.97,0
25,8.0,17,0.97,0
26,4.5,10,0.97,0
27,2.0,5,0.96,0
28,1.5,4,0.96,0
29,5.0,11,0.96,0
30,2.0,5,0.96,0
31,4.5,10,0.96,0
32,1.5,4,0.96,0
33,1.5,4,0.96,0
34,11.5,24,0.96,0
35,2.5,6,0.96,0
36,2.0,5,0.95,0
37,4.5,10,0.95,0
38,4.5,10,0.95,0
39,4.5,10,0.95,0
40,5.0,11,0.95,0
41,2.5,6,0.95,0
42,6.0,13,0.95,0
43,4.5,10,0.95,0
44,1.5,4,0.94,0
45,9.5,20,0.94,0
46,1.5,4,0.94,0
47,1.5,4,0.94,0
48,1.5,4,0.94,0
49,2.0,5,0.94,0
50,1.5,4,0.94,0
51,1.5,4,0.94,0
52,2.5,6,0.94,0
53,2.0,5,0.94,0
54,1.5,4,0.94,0
55,2.5,6,0.94,0
56,7.0,15,0.93,0
57,1.5,4,0.93,0
58,4.5,10,0.93,0
59,5.0,11,0.93,0
60,2.5,6,0.93,0
61,2.0,5,0.93,0
62,1.5,4,0.93,0
63,2.0,5,0.93,0
64,7.5,16,0.93,0
65,4.5,10,0.93,0
66,5.0,11,0.92,0
67,4.5,10,0.92,0
68,1.5,4,0.92,0
69,2.0,5,0.92,0
70,4.5,10,0.92,0
71,4.5,10,0.92,0
72,1.5,4,0.92,0
73,1.5,4,0.92,0
74,1.5,4,0.92,0
75,6.0,13,0.92,0
76,4.5,10,0.91,0
77,2.0,5,0.91,0
78,4.5,10,0.91,0
79,2.0,5,0.91,0
80,1.5,4,0.91,0
81,1.5,4,0.91,0
82,4.5,10,0.91,0
83,2.5,6,0.91,0
84,1.5,4,0.91,0
85,1.5,4,0.91,0
86,14.5,30,0.90,0
87,6.0,13,0.90,0
88,2.5,6,0.90,0
89,2.0,5,0.90,0
90,2.0,5,0.90,0
91,2.0,5,0.90,0
92,1.5,4,0.90,0
93,4.5,10,0.90,0
94,11.0,23,0.89,0
95,5.0,11,0.89,0
96,9.5,20,0.89,0
97,1.5,4,0.89,0
98,4.5,10,0.89,0
99,1.5,4,0.89,0
100,1.5,4,0.89,0
101,4.5,10,0.89,0
102,2.0,5,0.89,0
103,5.0,11,0.89,0
104,2.0,5,0.88,0
105,2.0,5,0.88,0
106,1.5,4,0.88,0
107,1.5,4,0.88,0
108,2.5,6,0.88,0
109,9.0,19,0.88,0
110,7.5,16,0.88,0
111,2.0,5,0.88,0
112,1.5,4,0.88,0
113,1.5,4,0.88,0
114,1.5,4,0.88,0
115,1.5,4,0.88,0
116,2.5,6,0.88,0
117,5.0,11,0.87,0
118,1.5,4,0.87,0
119,2.0,5,0.87,0
120,4.5,10,0.87,0
121,1.5,4,0.87,0
