Episode,Reward,Duration,Epsilon,Circles
0,5.5,12,1.00,0
1,4.0,9,1.00,0
2,3.0,7,1.00,0
3,2.5,6,1.00,0
4,1.5,4,0.99,0
5,1.5,4,0.99,0
6,1.5,4,0.99,0
7,2.5,6,0.99,0
8,4.0,9,0.99,0
9,5.5,12,0.99,0
10,2.5,6,0.99,0
11,1.5,4,0.99,0
12,10.0,21,0.99,0
13,2.5,6,0.98,0
14,11.5,24,0.98,0
15,1.5,4,0.98,0
16,2.5,6,0.98,0
17,1.5,4,0.98,0
18,1.5,4,0.98,0
19,10.5,22,0.98,0
20,1.5,4,0.98,0
21,9.0,19,0.97,0
22,1.5,4,0.97,0
23,3.0,7,0.97,0
24,1.5,4,0.97,0
25,1.5,4,0.97,0
26,1.5,4,0.97,0
27,3.0,7,0.97,0
28,1.5,4,0.97,0
29,12.5,26,0.97,0
30,5.5,12,0.97,0
31,3.0,7,0.96,0
32,3.0,7,0.96,0
33,4.0,9,0.96,0
34,2.5,6,0.96,0
35,2.5,6,0.96,0
36,4.0,9,0.96,0
37,6.0,13,0.96,0
38,3.0,7,0.96,0
39,3.0,7,0.96,0
40,7.0,15,0.95,0
41,4.0,9,0.95,0
42,1.5,4,0.95,0
43,8.0,17,0.95,0
44,4.0,9,0.95,0
45,4.0,9,0.95,0
46,6.0,13,0.95,0
47,4.0,9,0.94,0
48,1.5,4,0.94,0
49,4.0,9,0.94,0
50,1.5,4,0.94,0
51,4.0,9,0.94,0
52,3.0,7,0.94,0
53,1.5,4,0.94,0
54,1.5,4,0.94,0
55,5.5,12,0.94,0
56,1.5,4,0.94,0
57,1.5,4,0.94,0
58,3.0,7,0.94,0
59,5.5,12,0.93,0
60,1.5,4,0.93,0
61,1.5,4,0.93,0
62,3.0,7,0.93,0
63,2.5,6,0.93,0
64,1.5,4,0.93,0
65,1.5,4,0.93,0
66,3.0,7,0.93,0
67,8.5,18,0.93,0
68,5.5,12,0.93,0
69,5.5,12,0.92,0
70,3.0,7,0.92,0
71,4.0,9,0.92,0
72,1.5,4,0.92,0
73,1.5,4,0.92,0
74,2.5,6,0.92,0
75,1.5,4,0.92,0
76,3.0,7,0.92,0
77,7.0,15,0.92,0
78,3.0,7,0.92,0
79,1.5,4,0.92,0
80,5.5,12,0.92,0
81,1.5,4,0.91,0
82,8.5,18,0.91,0
83,5.5,12,0.91,0
84,3.0,7,0.91,0
85,3.0,7,0.91,0
86,14.0,29,0.91,0
87,5.5,12,0.90,0
88,1.5,4,0.90,0
89,5.5,12,0.90,0
90,4.0,9,0.90,0
91,1.5,4,0.90,0
92,1.5,4,0.90,0
93,1.5,4,0.90,0
94,6.5,14,0.90,0
95,4.0,9,0.90,0
96,1.5,4,0.90,0
97,2.5,6,0.90,0
98,1.5,4,0.90,0
99,5.5,12,0.89,0
100,8.0,17,0.89,0
101,6.0,13,0.89,0
102,6.0,13,0.89,0
103,1.5,4,0.89,0
104,3.0,7,0.89,0
105,3.0,7,0.89,0
106,2.5,6,0.89,0
107,2.5,6,0.89,0
108,1.5,4,0.89,0
109,3.0,7,0.88,0
110,5.5,12,0.88,0
111,4.0,9,0.88,0
112,9.0,19,0.88,0
113,1.5,4,0.88,0
114,3.0,7,0.88,0
115,1.5,4,0.88,0
116,2.5,6,0.88,0
117,1.5,4,0.88,0
118,11.5,24,0.87,0
119,1.5,4,0.87,0
120,1.5,4,0.87,0
121,1.5,4,0.87,0
122,1.5,4,0.87,0
123,4.0,9,0.87,0
124,1.5,4,0.87,0
125,3.0,7,0.87,0
126,2.5,6,0.87,0
127,1.5,4,0.87,0
128,3.0,7,0.87,0
129,1.5,4,0.87,0
130,1.5,4,0.87,0
131,4.0,9,0.87,0
132,4.0,9,0.86,0
133,1.5,4,0.86,0
134,5.5,12,0.86,0
135,3.0,7,0.86,0
136,1.5,4,0.86,0
137,1.5,4,0.86,0
138,2.5,6,0.86,0
139,1.5,4,0.86,0
140,8.0,17,0.86,0
141,1.5,4,0.86,0
142,4.0,9,0.86,0
143,1.5,4,0.86,0
144,1.5,4,0.86,0
145,1.5,4,0.86,0
146,1.5,4,0.86,0
147,2.5,6,0.85,0
148,1.5,4,0.85,0
149,3.0,7,0.85,0
150,9.0,19,0.85,0
151,10.0,21,0.85,0
152,6.0,13,0.85,0
153,2.5,6,0.85,0
154,8.0,17,0.84,0
155,2.5,6,0.84,0
156,2.5,6,0.84,0
157,1.5,4,0.84,0
158,8.0,17,0.84,0
159,2.5,6,0.84,0
160,3.0,7,0.84,0
161,1.5,4,0.84,0
162,1.5,4,0.84,0
163,1.5,4,0.84,0
164,8.0,17,0.84,0
165,1.5,4,0.84,0
166,3.0,7,0.83,0
167,1.5,4,0.83,0
168,5.5,12,0.83,0
169,12.5,26,0.83,0
170,1.5,4,0.83,0
171,5.5,12,0.83,0
172,1.5,4,0.83,0
173,5.5,12,0.83,0
174,5.5,12,0.83,0
175,1.5,4,0.83,0
176,1.5,4,0.83,0
177,1.5,4,0.82,0
178,2.5,6,0.82,0
179,1.5,4,0.82,0
180,1.5,4,0.82,0
181,3.0,7,0.82,0
182,3.0,7,0.82,0
183,1.5,4,0.82,0
184,1.5,4,0.82,0
185,1.5,4,0.82,0
186,1.5,4,0.82,0
187,1.5,4,0.82,0
188,1.5,4,0.82,0
189,5.5,12,0.82,0
190,3.0,7,0.82,0
191,3.0,7,0.82,0
192,1.5,4,0.82,0
193,3.0,7,0.82,0
194,1.5,4,0.82,0
195,3.0,7,0.81,0
196,1.5,4,0.81,0
197,1.5,4,0.81,0
198,1.5,4,0.81,0
199,1.5,4,0.81,0
200,2.5,6,0.81,0
201,8.5,18,0.81,0
202,1.5,4,0.81,0
203,10.5,22,0.81,0
204,6.0,13,0.81,0
205,3.0,7,0.81,0
206,3.0,7,0.80,0
207,3.0,7,0.80,0
208,8.0,17,0.80,0
209,9.0,19,0.80,0
210,3.0,7,0.80,0
211,1.5,4,0.80,0
212,6.0,13,0.80,0
213,3.0,7,0.80,0
214,15.5,32,0.79,0
215,1.5,4,0.79,0
216,1.5,4,0.79,0
217,1.5,4,0.79,0
218,1.5,4,0.79,0
219,1.5,4,0.79,0
220,15.0,31,0.79,0
221,1.5,4,0.79,0
222,4.0,9,0.79,0
223,9.0,19,0.79,0
224,1.5,4,0.79,0
225,1.5,4,0.78,0
226,1.5,4,0.78,0
227,8.0,17,0.78,0
228,3.0,7,0.78,0
229,5.5,12,0.78,0
230,1.5,4,0.78,0
231,31.5,44,0.78,0
232,3.0,7,0.78,0
233,1.5,4,0.78,0
234,1.5,4,0.77,0
235,1.5,4,0.77,0
236,4.0,9,0.77,0
237,5.5,12,0.77,0
238,2.5,6,0.77,0
239,8.5,18,0.77,0
240,1.5,4,0.77,0
241,1.5,4,0.77,0
242,2.5,6,0.77,0
243,5.5,12,0.77,0
244,6.0,13,0.77,0
245,3.0,7,0.77,0
246,2.5,6,0.76,0
247,1.5,4,0.76,0
248,1.5,4,0.76,0
249,1.5,4,0.76,0
250,1.5,4,0.76,0
251,6.0,13,0.76,0
252,1.5,4,0.76,0
253,1.5,4,0.76,0
254,3.0,7,0.76,0
255,1.5,4,0.76,0
256,9.0,19,0.76,0
257,14.0,29,0.76,0
258,1.5,4,0.75,0
259,16.5,34,0.75,0
260,3.0,7,0.75,0
261,3.0,7,0.75,0
262,3.0,7,0.75,0
263,1.5,4,0.75,0
264,5.5,12,0.75,0
265,3.0,7,0.75,0
266,3.0,7,0.75,0
267,9.0,19,0.75,0
268,1.5,4,0.74,0
269,1.5,4,0.74,0
270,1.5,4,0.74,0
271,1.5,4,0.74,0
272,7.0,15,0.74,0
273,4.0,9,0.74,0
274,1.5,4,0.74,0
275,2.5,6,0.74,0
276,1.5,4,0.74,0
277,4.0,9,0.74,0
278,1.5,4,0.74,0
279,3.0,7,0.74,0
280,10.0,21,0.74,0
281,8.5,18,0.73,0
282,1.5,4,0.73,0
283,4.0,9,0.73,0
284,5.5,12,0.73,0
285,1.5,4,0.73,0
286,1.5,4,0.73,0
287,3.0,7,0.73,0
288,3.0,7,0.73,0
289,4.0,9,0.73,0
290,4.0,9,0.73,0
291,1.5,4,0.73,0
292,3.0,7,0.73,0
293,5.5,12,0.73,0
294,1.5,4,0.73,0
295,1.5,4,0.72,0
296,1.5,4,0.72,0
297,1.5,4,0.72,0
298,2.5,6,0.72,0
299,3.0,7,0.72,0
