Episode,Reward,Duration,Epsilon,Circles
0,-1.414875606273995,17,0.99,0
1,-2.5925337055283624,11,0.98,0
2,-1.6602553976728753,16,0.98,0
3,0.6138418899500788,25,0.96,0
4,-2.5925337055283624,11,0.96,0
5,-3.4803141548326906,8,0.96,0
6,0.7079539840527609,25,0.94,0
7,-2.7269220643395453,12,0.94,0
8,0.5385698061387263,25,0.93,0
9,0.46059711591879626,26,0.91,0
10,0.4758011006483134,25,0.90,0
11,-2.7269220643395453,12,0.90,0
12,-3.4803141548326906,8,0.89,0
13,-2.4136474881660206,12,0.89,0
14,-2.4136474881660206,12,0.88,0
15,-3.6592003721950324,7,0.88,0
16,1.5151334228964792,30,0.87,0
17,-3.4803141548326906,8,0.86,0
18,-2.4136474881660206,12,0.86,0
19,14.954624263173049,44,0.84,0
20,-3.6592003721950324,7,0.84,0
21,-3.6592003721950324,7,0.83,0
22,12.988113571880717,38,0.82,0
23,-2.5925337055283624,11,0.81,0
24,-2.4136474881660206,12,0.81,0
25,-2.7269220643395453,12,0.80,0
26,-3.4803141548326906,8,0.80,0
27,-3.6592003721950324,7,0.80,0
28,-2.5925337055283624,11,0.79,0
29,-1.6602553976728753,16,0.79,0
30,-3.6592003721950324,7,0.79,0
31,-3.6592003721950324,7,0.78,0
32,-2.5925337055283624,11,0.78,0
33,-2.4136474881660206,12,0.77,0
34,-3.4803141548326906,8,0.77,0
35,0.7984509670767288,25,0.76,0
36,-3.6592003721950324,7,0.76,0
37,-2.4136474881660206,12,0.75,0
38,-3.4803141548326906,8,0.75,0
39,-3.4803141548326906,8,0.75,0
40,-2.7269220643395453,12,0.74,0
41,-0.4592003721950295,19,0.74,0
42,-3.6592003721950324,7,0.73,0
43,-3.4803141548326906,8,0.73,0
44,-3.4803141548326906,8,0.73,0
45,-3.4803141548326906,8,0.73,0
46,0.4990227539641232,25,0.72,0
47,0.4758011006483134,25,0.71,0
48,-3.4803141548326906,8,0.70,0
49,0.6138418899500788,25,0.70,0
50,-1.414875606273995,17,0.69,0
51,-1.414875606273995,17,0.68,0
52,-2.5925337055283624,11,0.68,0
53,-1.4148756062739931,17,0.67,0
54,-1.414875606273995,17,0.67,0
55,-0.9713870281067543,19,0.66,0
56,14.872196519774924,43,0.65,0
57,-3.4803141548326906,8,0.64,0
58,0.676695011613111,25,0.64,0
59,-2.4136474881660206,12,0.63,0
60,-0.9598516047558565,19,0.63,0
61,-2.7269220643395453,12,0.62,0
62,-3.6592003721950324,7,0.62,0
63,-3.4803141548326906,8,0.62,0
64,20.87957260396574,69,0.60,0
65,-3.4803141548326906,8,0.60,0
66,0.4758011006483134,25,0.59,0
67,-0.7902515495495059,20,0.58,0
68,0.676695011613111,25,0.58,0
69,1.5568837325370684,28,0.57,0
70,-2.5925337055283624,11,0.57,0
71,-2.5925337055283624,11,0.56,0
72,0.8527059683599614,25,0.56,0
73,-2.5925337055283624,11,0.55,0
74,0.6661911954073947,25,0.55,0
75,0.7079539840527609,25,0.54,0
76,-3.4803141548326906,8,0.54,0
77,-0.4592003721950295,19,0.53,0
78,0.7079539840527609,25,0.53,0
79,0.46059711591879626,26,0.52,0
80,13.202175082060972,35,0.51,0
81,-1.525867038861696,15,0.51,0
82,0.4730779356604575,24,0.50,0
83,-2.4136474881660206,12,0.50,0
84,1.5568837325370684,28,0.49,0
85,13.056239677404985,36,0.48,0
86,0.39802195473444435,25,0.48,0
87,1.3853930496460674,26,0.47,0
88,0.7079539840527609,25,0.47,0
89,0.6661911954073947,25,0.46,0
90,0.6661911954073947,25,0.46,0
91,14.712279146134488,41,0.45,0
92,0.7079539840527609,25,0.44,0
93,0.8495976455055096,26,0.44,0
94,17.94475996366399,52,0.43,0
95,-0.5430798809207307,21,0.42,0
96,0.8527059683599614,25,0.42,0
97,0.7079539840527609,25,0.41,0
98,1.19123019186463,25,0.41,0
99,0.839153916823987,25,0.40,0
100,0.7655289910094307,26,0.40,0
101,-2.5925337055283624,11,0.39,0
102,2.1263189732411867,31,0.39,0
103,0.4758011006483134,25,0.38,0
104,0.7079539840527609,25,0.38,0
105,12.906149832067102,36,0.37,0
106,0.7079539840527609,25,0.37,0
